#This annotation file adds more informative labels for nodes, replacing the accession number with the virus' name.

LABELS

SEPARATOR TAB

DATA

NC_049510	Erwinia phage phiEaP-8 (NC_049510)
NC_049509	Salmonella phage P46FS4 (NC_049509)
NC_049508	Salmonella phage maane (NC_049508)
NC_049507	Salmonella phage pertopsoe (NC_049507)
NC_049506	Salmonella phage moki (NC_049506)
NC_049505	Salmonella phage barely (NC_049505)
NC_049504	Salmonella phage dinky (NC_049504)
NC_049503	Salmonella phage aagejoakim (NC_049503)
NC_049502	Salmonella phage bering (NC_049502)
NC_049501	Salmonella phage allotria (NC_049501)
NC_049500	Salmonella phage heyday (NC_049500)
NC_049499	Salmonella phage rabagast (NC_049499)
NC_049498	Arthrobacter phage Abba (NC_049498)
NC_049494	Acinetobacter phage vB_AbaM_PhT2 (NC_049494)
NC_049493	Acinetobacter phage Lazarus (NC_049493)
NC_049492	Acinetobacter phage Kimel (NC_049492)
NC_049491	Acinetobacter phage Apostate (NC_049491)
NC_049490	Acinetobacter phage Berthold (NC_049490)
NC_049489	Arthrobacter phage DrYang (NC_049489)
NC_049488	Lactococcus phage CHPC965 (NC_049488)
NC_049487	Lactococcus phage CHPC964 (NC_049487)
NC_049486	Lactococcus phage CHPC959 (NC_049486)
NC_049485	Lactococcus phage CHPC958 (NC_049485)
NC_049484	Lactococcus phage CHPC781 (NC_049484)
NC_049483	Lactococcus phage CHPC52 (NC_049483)
NC_049482	Lactococcus phage CHPC362 (NC_049482)
NC_049481	Lactococcus phage CHPC361 (NC_049481)
NC_049480	Lactococcus phage CHPC129 (NC_049480)
NC_049479	Acinetobacter phage Konradin (NC_049479)
NC_049478	Arthrobacter phage Mufasa8 (NC_049478)
NC_049477	Vibrio phage Valm-yong1 (NC_049477)
NC_049476	Lactococcus phage P4565 (NC_049476)
NC_049475	Lactococcus phage P656 (NC_049475)
NC_049474	Lactococcus phage P1532 (NC_049474)
NC_049473	Arthrobacter phage Kuleana (NC_049473)
NC_049472	Klebsiella virus UPM 2146 (NC_049472)
NC_049471	Arthrobacter phage Lymara (NC_049471)
NC_049470	Arthrobacter phage TripleJ (NC_049470)
NC_049469	Sinorhizobium phage ort11 (NC_049469)
NC_049468	Arthrobacter phage Zartrosa (NC_049468)
NC_049467	Klebsiella phage KpCHEMY26 (NC_049467)
NC_049466	Escherichia phage vB_EcoM_4HA13 (NC_049466)
NC_049465	Arthrobacter phage Vibaki (NC_049465)
NC_049464	Serratia phage Muldoon (NC_049464)
NC_049463	Stenotrophomonas phage Pokken (NC_049463)
NC_049462	Klebsiella phage Magnus (NC_049462)
NC_049461	Bacteriophage R18C (NC_049461)
NC_049460	Salmonella phage SI7 (NC_049460)
NC_049459	Salmonella phage SW9 (NC_049459)
NC_049458	Salmonella phage SS9 (NC_049458)
NC_049457	Escherichia phage vB_EcoM-12474III (NC_049457)
NC_049455	Shigella phage MK-13 (NC_049455)
NC_049454	Klebsiella phage ST15-OXA48phi14.1 (NC_049454)
NC_049453	Klebsiella phage ST13-OXA48phi12.1 (NC_049453)
NC_049452	Klebsiella phage ST512-KPC3phi13.2 (NC_049452)
NC_049451	Klebsiella phage ST147-VIM1phi7.1 (NC_049451)
NC_049450	Klebsiella phage ST16-OXA48phi5.4 (NC_049450)
NC_049449	Klebsiella phage ST437-OXA245phi4.2 (NC_049449)
NC_049448	Klebsiella phage ST437-OXA245phi4.1 (NC_049448)
NC_049447	Lactococcus phage MV10L (NC_049447)
NC_049446	Lactococcus phage 8V08 (NC_049446)
NC_049445	Acinetobacter phage AbTZA1 (NC_049445)
NC_049444	Klebsiella phage Pylas (NC_049444)
NC_049443	Salmonella phage SeSz-1 (NC_049443)
NC_049442	Arthrobacter phage KBurrousTX (NC_049442)
NC_049441	Acinetobacter phage KARL-1 (NC_049441)
NC_049440	Salmonella phage SenALZ1 (NC_049440)
NC_049439	Salmonella phage SenASZ3 (NC_049439)
NC_049438	Acinetobacter phage vB_ApiM_fHyAci03 (NC_049438)
NC_049437	Salmonella phage S118 (NC_049437)
NC_049436	Ruegeria phage vB_RpoP-V13 (NC_049436)
NC_049435	Ruegeria phage vB_RpoP-V12 (NC_049435)
NC_049434	Lactococcus phage MP1 (NC_049434)
NC_049433	Escherichia phage EP75 (NC_049433)
NC_049432	Ralstonia phage RsoM1USA (NC_049432)
NC_049431	Vibrio phage 1.097.O._10N.286.49.B3 (NC_049431)
NC_049430	Vibrio phage 1.026.O._10N.222.49.C7 (NC_049430)
NC_049429	Enterobacter phage phiT5282H (NC_049429)
NC_049428	Salmonella phage Mutine (NC_049428)
NC_049427	Escherichia phage FEC14 (NC_049427)
NC_049426	Lactococcus phage vB_Llc_bIBBF12 (NC_049426)
NC_049425	Lactococcus phage vB_Llc_bIBB5g1 (NC_049425)
NC_049424	Lactococcus phage LP1502a (NC_049424)
NC_049423	Lactococcus phage LP0903 (NC_049423)
NC_049422	Lactococcus phage LP0209 (NC_049422)
NC_049421	Lactococcus phage LP9908 (NC_049421)
NC_049420	Lactococcus phage LP9903 (NC_049420)
NC_049419	Lactococcus phage LP9609 (NC_049419)
NC_049418	Lactococcus phage LP9404 (NC_049418)
NC_049417	Lactococcus phage LP9207 (NC_049417)
NC_049416	Lactococcus phage LP8511 (NC_049416)
NC_049415	Lactococcus phage 96603 (NC_049415)
NC_049414	Lactococcus phage 96403 (NC_049414)
NC_049413	Lactococcus phage 96401 (NC_049413)
NC_049412	Lactococcus phage 88605 (NC_049412)
NC_049411	Lactococcus phage 79201 (NC_049411)
NC_049410	Lactococcus phage 66901 (NC_049410)
NC_049409	Lactococcus phage 63302 (NC_049409)
NC_049408	Lactococcus phage 62605 (NC_049408)
NC_049407	Lactococcus phage 62601 (NC_049407)
NC_049406	Lactococcus phage 57001 (NC_049406)
NC_049405	Lactococcus phage 56301 (NC_049405)
NC_049404	Lactococcus phage 56003 (NC_049404)
NC_049403	Lactococcus phage 51701 (NC_049403)
NC_049402	Lactococcus phage 38507 (NC_049402)
NC_049401	Lactococcus phage 38503 (NC_049401)
NC_049400	Lactococcus phage 37201 (NC_049400)
NC_049399	Lactococcus phage 30804 (NC_049399)
NC_049398	Lactococcus phage 16802 (NC_049398)
NC_049397	Lactococcus phage 05601 (NC_049397)
NC_049396	Salmonella phage SP1 (NC_049396)
NC_049395	Escherichia phage ESSI2_ev015 (NC_049395)
NC_049394	Escherichia phage ESSI2_ev129 (NC_049394)
NC_049393	Escherichia phage ESSI2_ev040 (NC_049393)
NC_049392	Escherichia phage ESSI2_ev239 (NC_049392)
NC_049391	Escherichia virus P88_4B11 (NC_049391)
NC_049390	Escherichia virus P2_4A7b (NC_049390)
NC_049389	Escherichia virus P2_4E6b (NC_049389)
NC_049388	Escherichia virus P2_4C9 (NC_049388)
NC_049387	Escherichia virus P2_4B2 (NC_049387)
NC_049386	Escherichia virus P2_2H1 (NC_049386)
NC_049385	Escherichia virus P2_2H4 (NC_049385)
NC_049384	Enterobacter phage EspM4VN (NC_049384)
NC_049383	Tenacibaculum phage pT24 (NC_049383)
NC_049382	Salmonella phage BSP101 (NC_049382)
NC_049381	Lactococcus phage R31 (NC_049381)
NC_049380	Vibrio phage JSF3 (NC_049380)
NC_049379	Vibrio phage vB_VspP_pVa5 (NC_049379)
NC_049378	Salmonella phage ST-W77 (NC_049378)
NC_049377	Lactococcus phage 13W11L (NC_049377)
NC_049376	Lactococcus phage 3R16S (NC_049376)
NC_049375	Lactococcus phage i0139 (NC_049375)
NC_049374	Lactococcus phage 10W18 (NC_049374)
NC_049373	Lactococcus phage 16W23 (NC_049373)
NC_049372	Roseobacter phage RD-1410W1-01 (NC_049372)
NC_049371	Dinoroseobacter phage DS-1410Ws-06 (NC_049371)
NC_049370	Lactococcus phage 936 group phage PhiS0139 (NC_049370)
